repl,bench,cycles,instrs,ipc,l1i_misses,l1i_mpki,l1d_misses,l1d_mpki,l2_misses,l2_mpki,l3_misses,l3_mpki
LFU,namd,55402357,100015631,1.8052594946456881,2296,0.022956411683289785,52073,0.5206486174146119,38465,0.3845898847551139,37161,0.3715519227189598
LFU,sjeng,86510103,100001677,1.1559537387211294,73012,0.7301077560929303,123715,1.2371292533424214,40381,0.40380322821986275,36199,0.36198392952950176
LFU,soplex,267112178,100005715,0.37439594012070837,2288,0.022878692482724613,4187749,41.8750968382157,3366041,33.658486417501244,2129137,21.29015326774075
LFU,streamcluster,5556025392,5000061941,0.8999350413695878,4597,0.0009193886104300163,67854394,13.570710683321913,67614978,13.522828076501222,17693517,3.5386595623776094
LFU,swaptions,3213928252,5000005313,1.5557302220074576,363670,0.07273392271293372,19543758,3.9087474465649636,18351,0.003670196100049624,11219,0.0022437976157406534
LFU,x264,3102034884,5000099732,1.6118773382562643,38224724,7.64479231391459,42561873,8.512204812157936,17176364,3.4352042800413485,4317023,0.8633873785299929
LRU,blackscholes,3181527059,4062699975,1.2769654004693474,957,0.00023555763553522062,4085758,1.0056755421620813,416237,0.1024532952374855,29452,0.0072493662296586395
LRU,bodytrack,3036008228,5000034157,1.646910608109195,6129263,1.225844225767756,49563498,9.912631882846556,3374271,0.674849589832512,183168,0.036633349742934564
LRU,bzip2,115734840,100003121,0.8640710178542607,162,0.0016199494413779347,3028290,30.281954900187568,1970322,19.702605081695403,278618,2.7860930460360334
LRU,cactusADM,94371810,100011889,1.0597644466075198,263,0.002629687356470189,757551,7.574609454681933,500543,5.0048349751698025,480649,4.805918624334752
LRU,calculix,50460723,100002682,1.981792492350932,457,0.004569877435887169,42845,0.4284385092791811,6277,0.06276831655375002,5890,0.05889842034436637
LRU,canneal,5972579713,1721948325,0.28830897329875455,3536,0.0020534878710718567,37975737,22.053935329331093,36429002,21.15568828117998,22794055,13.23736297371177
LRU,dedup,4066727158,5000027544,1.2294966811737116,708083,0.14161581986677152,19332115,3.8664017007663105,7264303,1.4528525965256163,6516055,1.3032038209107912
LRU,fluidanimate,3757982625,5000039000,1.3305114735595671,2238,0.00044759650874723176,7126324,1.4252536830212723,6034193,1.2068291867323435,4484910,0.896975003594972
LRU,freqmine,4456870817,5000060253,1.1218768634549814,6349,0.0012697846983325144,26775485,5.355032468645733,9605220,1.9210208505461384,5299159,1.0598190285448146
LRU,gcc,140095807,100005154,0.7138340264530544,702532,7.024957933668099,3062129,30.61971186005073,1756721,17.566304632659232,328613,3.2859606415885323
LRU,hmmer,69179205,100006171,1.445610295752893,1895,0.0189488306676595,529630,5.295973185494723,319918,3.198982590784323,141638,1.416292600583618
