repl,bench,cycles,instrs,ipc,l1i_misses,l1i_mpki,l1d_misses,l1d_mpki,l2_misses,l2_mpki,l3_misses,l3_mpki
Rand,xalan,74592333,100009967,1.3407539753448923,438204,4.381603285600525,1688099,16.87930763940758,404604,4.045636771382997,226701,2.26678406963178
SRRIP,blackscholes,3181501818,4062699926,1.2769755160957132,955,0.0002350653549104872,4086108,1.0057617038979905,413751,0.10184138812520312,29449,0.0072486278918941745
SRRIP,bodytrack,3033424589,5000003577,1.648303239556815,6139791,1.2279573215193322,49519723,9.903937514723102,3506251,0.7012496983259657,145570,0.0291139791718593
SRRIP,bzip2,115047445,100024625,0.8694206551045093,1053,0.01052740762587213,3028369,30.276234477259973,1960621,19.601383159397,263193,2.6312820467959765
SRRIP,cactusADM,93339266,100009940,1.071466964396313,1973,0.019728039032920128,757641,7.575656979696218,503098,5.030479970290953,471069,4.710221803952687
SRRIP,calculix,50449994,100010390,1.9823667372487694,458,0.004579524187436926,44692,0.44687356983609405,6337,0.06336341654102139,5902,0.0590138684590671
SRRIP,canneal,5823333294,1721977280,0.29570302661093056,82010,0.047625483188721285,38030478,22.08535411106005,36496216,21.194365584196326,20526856,11.92051500238145
SRRIP,fluidanimate,3752229145,5000039978,1.3325518737742228,9977,0.001995384045707324,7135569,1.427102389460135,5983511,1.1966926317243938,4403371,0.8806671585376672
SRRIP,gcc,134322506,100007655,0.7445338683600796,706879,7.06824892554475,3052579,30.52345342963996,1743270,17.431365628961103,294219,2.941964792595127
SRRIP,hmmer,69408957,100002757,1.440775964981004,3299,0.03298909049077517,523985,5.2397055413182265,321645,3.216361324918272,158782,1.5877762250094765
SRRIP,lbm,174208940,100001963,0.5740346218741702,3117,0.031169388144910715,5095232,50.951319825591824,3098531,30.984701770304248,3098397,30.983361796607934
SRRIP,leslie3d,217760545,100004745,0.45924180158531475,3141,0.03140850966621633,3360777,33.60617538697789,2625124,26.249994437763927,2387649,23.875357114304926
SRRIP,libquantum,195673910,100002947,0.5110693960170776,359,0.0035898942058177545,2504754,25.04680187074887,2505113,25.05039176495469,2505113,25.05039176495469
